Node,X,Y,Z
0,6.5160603523254395,2.733844757080078,2.5870179384946823
1,-16.48393964767456,2.733844757080078,2.5870179384946823
18,-5.9839396476745605,2.733844757080078,7.587018013000488
2,29.51605987548828,2.733844757080078,2.5870179384946823
8,17.01606035232544,2.733844757080078,7.587018013000488
15,-28.98394012451172,2.733844757080078,7.587018013000488
3,-39.48394012451172,2.733844757080078,2.5870179384946823
12,9.148868203163147,2.733844757080078,12.587018013000488
13,-13.851131796836853,2.733844757080078,12.587018013000488
14,40.01605987548828,2.733844757080078,7.587018013000488
10,32.148868560791016,2.733844757080078,12.587018013000488
4,-36.851131439208984,2.733844757080078,12.587018013000488
16,-4.5247039794921875,2.733844757080078,17.58701753616333
17,18.475296020507812,2.733844757080078,17.58701753616333
9,-27.524703979492188,2.733844757080078,17.58701753616333
19,41.47529602050781,2.733844757080078,17.58701753616333
5,-10.354201912879944,2.733844757080078,22.587017059326172
7,12.645798087120056,2.733844757080078,22.587017059326172
11,35.64579772949219,2.733844757080078,22.587017059326172
6,-33.35420227050781,2.733844757080078,22.587017059326172
